"","Title","Word","Num_in_doc","Num_in_total","Prop_in_doc","Prop_in_total","Relative_freq"
"1"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","challenge",42,156,1.77140447068747,0.00761530226647993,1.76378916842099
"2"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","technique",42,102,1.77140447068747,0.0049792360973138,1.76642523459016
"3"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","datum",45,2217,1.89793336145086,0.108225161056321,1.78970820039454
"4"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","illicit",43,174,1.8135807676086,0.00849399098953531,1.80508677661907
"5"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","chain",43,162,1.8135807676086,0.00790819850749839,1.80567256910111
"6"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","network",44,469,1.85575706452973,0.0228947228396095,1.83286234169012
"7"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","terrorist",48,3790,2.02446225221426,0.185012792243326,1.83944945997093
"8"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","analysis",45,863,1.89793336145086,0.0421282426664883,1.85580511878438
"9"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","fius",45,519,1.89793336145086,0.0253355248480967,1.87259783660277
"10"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","detect",45,385,1.89793336145086,0.0187941754653511,1.87913918598551
"11"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","payment",47,1926,1.98228595529313,0.0940196933669253,1.8882662619262
"12"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","public",47,1430,1.98228595529313,0.0698069374427327,1.91247901785039
"13"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","understand",47,974,1.98228595529313,0.0475468231253298,1.9347391321678
"14"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","source",48,1379,2.02446225221426,0.0673173193940758,1.95714493282018
"15"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","note",49,1466,2.06663854913539,0.0715643148888434,1.99507423424654
"16"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","provide",55,5310,2.31969633066217,0.259213173301336,2.06048315736083
"17"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","process",52,1243,2.19316743989878,0.0606783379309907,2.13248910196779
"18"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","information",65,10623,2.74145929987347,0.518572794723181,2.22288650515029
"19"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","transaction",61,6766,2.57275411218895,0.330289327788482,2.24246478440047
"20"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","country",58,3639,2.44622522142556,0.177641570177695,2.26858365124786
"21"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","cash",57,1198,2.40404892450443,0.0584816161233523,2.34556730838108
"22"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","service",63,5536,2.65710670603121,0.270245598379698,2.38686110765151
"23"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","international",59,1522,2.48840151834669,0.0742980131383491,2.41410350520834
"24"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","fis",58,428,2.44622522142556,0.0208932651926501,2.42533195623291
"25"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","finance",69,7557,2.91016448755799,0.368902815562749,2.54126167199524
"26"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","criminal",64,2591,2.69928300295234,0.126482360079804,2.57280064287254
"27"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","involve",66,1484,2.7836355967946,0.0724430036118988,2.7111925931827
"28"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","custom",66,538,2.7836355967946,0.0262630296113218,2.75737256718328
"29"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","ml",67,1046,2.82581189371573,0.0510615780175513,2.77475031569818
"30"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","company",70,2438,2.95234078447912,0.119013505933834,2.83332727854529
"31"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","private",69,640,2.91016448755799,0.0312422657086356,2.87892222184936
"32"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","development",72,312,3.03669337832138,0.0152306045329599,3.02146277378842
"33"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","activity",76,3670,3.20539856600591,0.179154867422957,3.02624369858295
"34"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","trend",72,181,3.03669337832138,0.00883570327072351,3.02785767505066
"35"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","egmont",81,129,3.41628005061156,0.00629726918189686,3.40998278142966
"36"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","identify",88,2867,3.71151412905947,0.139955587166654,3.57155854189282
"37"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","jurisdiction",87,1376,3.66933783213834,0.0671708712735666,3.60216696086477
"38"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","financial",98,7429,4.13327709827077,0.362654362421022,3.77062273584975
"39"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","include",102,5117,4.30198228595529,0.249791677548576,4.05219060840672
"40"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","authority",107,4891,4.51286377056094,0.238759252470214,4.27410451809073
"41"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","fatf",113,1580,4.76592155208773,0.0771293434681942,4.68879220861953
"42"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","tradebased",122,142,5.1455082243779,0.00693187770410352,5.1385763466738
"43"," 2020  Trade Based Money Laundering   Trends and Developments  joint FATF Egmont Group report ","scheme",123,690,5.18768452129903,0.0336830677171228,5.15400145358191
